CH 1
0.0132
0.00584
32.0
2.0
0.022
0.0117
32.0
4.0
0.0366
0.01756
32.0
6.0
0.0571
0.02336
32.0
8.0
0.085
0.03402
48.0
8.0
0.1245
0.04384
32.0
16.0
0.1465
0.07776
16.0
4.0
0.1802
0.04882
32.0
22.0
0.2441
0.11698
16.0
6.0
0.2578
0.03441
32.0
31.0
0.3662
0.05872
48.0
31.0
0.5171
0.00142
32.0
60.0
0.5664
0.2143
16.0
11.0
0.7031
0.3063
10.0
2.0
0.8301
0.30927
16.0
16.0
1.2012
0.49151
26.0
15.0
1.7188
0.50542
16.0
31.0
1.9531
0.93463
10.0
6.0
2.4414
0.43801
16.0
43.0
3.0469
1.24538
10.0
8.0
3.4473
0.1832
16.0
60.0
4.5313
1.69602
10.0
11.0
6.6406
2.35745
10.0
16.0
8.3496
3.65842
130.0
2.0
9.6094
2.69127
10.0
22.0
13.916
7.00057
140.0
6.0
19.5313
0.64781
10.0
43.0
23.1934
11.10446
130.0
6.0
27.5781
0.09709
10.0
60.0
36.1816
14.77174
130.0
8.0
53.8086
19.99962
130.0
11.0
78.8574
27.11389
130.0
16.0
114.1113
28.20355
130.0
22.0
163.2812
16.7868
130.0
31.0
231.9336
4.00258
130.0
43.0
327.4902
0.51018
130.0
60.0
