type	latitude	longitude	altitude (m)	eos	color	opacity	name	desc	kml_folder
T	-1.098320926	37.013578009	1523.4						
T	-1.098320974	37.013599168	1523.3						
T	-1.098325295	37.013628780	1523.3						
T	-1.098342112	37.013649999	1523.2						
T	-1.098363098	37.013683957	1523.1						
T	-1.098367310	37.013688203	1523.1						
T	-1.098380015	37.013688203	1523.1						
T	-1.098384477	37.013645755	1523.2						
T	-1.098384485	37.013599168	1523.3						
T	-1.098388539	37.013548406	1523.4						
T	-1.098392661	37.013510317	1523.5						
T	-1.098358625	37.013391736	1523.8						
T	-1.098341498	37.013760405	1523.0						
T	-1.098243968	37.013760445	1522.8						
T	-1.098261024	37.013747684	1522.9						
T	-1.098392527	37.013434098	1523.6						
T	-1.098392489	37.013412923	1523.7						
T	-1.098388246	37.013404451	1523.7						
T	-1.098379766	37.013391742	1523.8						
T	-1.098367021	37.013357855	1523.9						
T	-1.098354274	37.013323964	1523.9						
T	-1.098354235	37.013302783	1523.8						
T	-1.098354194	37.013281600	1523.8						
T	-1.098354147	37.013268891	1523.7						
T	-1.098358299	37.013247707	1523.6						
T	-1.098362467	37.013230758	1523.6						
T	-1.098366590	37.013196853	1523.4						
T	-1.098370767	37.013171421	1523.3						
T	-1.098374952	37.013150225	1523.3						
T	-1.098383300	37.013095108	1523.1						
T	-1.098387411	37.013031498	1522.8						
T	-1.098395747	37.012967870	1522.6						
T	-1.098404038	37.012908454	1522.4						
T	-1.098420693	37.012836252	1522.1						
T	-1.098458431	37.012742728	1521.8						
T	-1.098466778	37.012708709	1521.7						
T	-1.098479344	37.012670421	1521.5						
T	-1.098491695	37.012564045	1521.2						
T	-1.098512659	37.012500151	1521.0						
T	-1.098525229	37.012457539	1520.9						
T	-1.098533594	37.012423443	1520.9						
T	-1.098541988	37.012397859	1520.9						
T	-1.098550396	37.012376531	1520.9						
T	-1.098567255	37.012346652	1520.8						
T	-1.098588308	37.012299696	1520.8						
T	-1.098596675	37.012261289	1520.7						
T	-1.098609334	37.012239922	1520.7						
T	-1.098613502	37.012214311	1520.7						
T	-1.098617695	37.012197229	1520.6						
T	-1.098621841	37.012163073	1520.6						
T	-1.098626011	37.012137447	1520.6						
T	-1.098638695	37.012116077	1520.5						
T	-1.098647156	37.012098997	1520.5						
T	-1.098659874	37.012081915	1520.5						
T	-1.098676825	37.012056289	1520.5						
T	-1.098698013	37.012022115	1520.4						
T	-1.098710715	37.011996479	1520.4						
T	-1.098723429	37.011975113	1520.4						
T	-1.098727654	37.011962292	1520.4						
T	-1.098727590	37.011936646	1520.3						
T	-1.098731805	37.011919547	1520.3						
T	-1.098736020	37.011902445	1520.3						
T	-1.098748729	37.011876790	1520.3						
T	-1.098769997	37.011868237	1520.2						
T	-1.098782799	37.011881066	1520.3						
T	-1.098795619	37.011902445	1520.3						
T	-1.098804171	37.011919547	1520.3						
T	-1.098821264	37.011949470	1520.3						
