type	latitude	longitude	altitude (m)	eos	color	opacity	name	desc	kml_folder
T	-1.098976355	37.013179881	1522.2						
T	-1.098980579	37.013158668	1522.1						
T	-1.098984806	37.013141698	1522.1						
T	-1.098989024	37.013111997	1522.0						
T	-1.099001699	37.013048342	1521.9						
T	-1.099005907	37.013005898	1521.8						
T	-1.099014363	37.012967694	1521.8						
T	-1.099014305	37.012916738	1521.7						
T	-1.099018490	37.012878501	1521.6						
T	-1.099022669	37.012836005	1521.5						
T	-1.099022656	37.012827505	1521.5						
T	-1.099031107	37.012802000	1521.5						
T	-1.099043761	37.012746727	1521.4						
T	-1.099056408	37.012682925	1521.3						
T	-1.099060624	37.012661652	1521.2						
T	-1.099069071	37.012627609	1521.2						
T	-1.099081756	37.012585045	1521.1						
T	-1.099090218	37.012559502	1521.1						
T	-1.099111401	37.012512660	1521.0						
T	-1.099124106	37.012478585	1521.0						
T	-1.099141069	37.012448763	1520.9						
T	-1.099158035	37.012418936	1520.9						
T	-1.099170758	37.012393365	1520.9						
T	-1.099183488	37.012372053	1520.8						
T	-1.099191956	37.012337947	1520.8						
T	-1.099204681	37.012308098	1520.8						
T	-1.099208917	37.012291039	1520.7						
T	-1.099221638	37.012252650	1520.7						
T	-1.099225883	37.012244118	1520.7						
T	-1.099234362	37.012214252	1520.7						
T	-1.099255600	37.012180112	1520.6						
T	-1.099272601	37.012163038	1520.6						
T	-1.099293860	37.012150232	1520.6						
T	-1.099319382	37.012150232	1520.6						
T	-1.099340660	37.012167306	1520.6						
T	-1.099353432	37.012192914	1520.6						
T	-1.099353440	37.012209984	1520.7						
T	-1.099353448	37.012227052	1520.7						
T	-1.099353466	37.012265447	1520.7						
T	-1.099353484	37.012303834	1520.8						
T	-1.099353500	37.012337947	1520.8						
T	-1.099349257	37.012355001	1520.8						
T	-1.099340766	37.012376315	1520.9						
T	-1.099323776	37.012397627	1520.9						
T	-1.099302540	37.012423197	1520.9						
T	-1.099285554	37.012444502	1520.9						
T	-1.099272824	37.012470065	1521.0						
T	-1.099255846	37.012495624	1521.0						
T	-1.099238868	37.012516919	1521.0						
T	-1.099221903	37.012550986	1521.1						
T	-1.099204946	37.012589302	1521.1						
T	-1.099192233	37.012619097	1521.1						
T	-1.099179512	37.012640376	1521.2						
T	-1.099166794	37.012661652	1521.2						
T	-1.099158347	37.012704195	1521.2						
T	-1.099145651	37.012742474	1521.3						
T	-1.099128714	37.012780743	1521.4						
T	-1.099116010	37.012806252	1521.4						
T	-1.099107600	37.012870003	1521.5						
T	-1.099107694	37.012950713	1521.6						
T	-1.099099249	37.013014388	1521.7						
T	-1.099095031	37.013052586	1521.8						
T	-1.099086578	37.013099266	1521.9						
T	-1.099069630	37.013128969	1521.9						
T	-1.099061177	37.013171396	1522.0						
T	-1.099048480	37.013230785	1522.1						
T	-1.099044243	37.013260478	1522.2						
T	-1.099040010	37.013290170	1522.2						
T	-1.099027322	37.013324096	1522.3						
T	-1.099014633	37.013353776	1522.4						
T	-1.099010419	37.013383455	1522.4						
T	-1.099001965	37.013408889	1522.4						
T	-1.098997756	37.013442801	1522.5						
T	-1.098993543	37.013472470	1522.5						
T	-1.098993584	37.013523327	1522.5						
T	-1.098989401	37.013586885	1522.5						
T	-1.098989421	37.013641980	1522.6						
T	-1.098985190	37.013671649	1522.6						
T	-1.098985190	37.013705563	1522.6						
T	-1.098985190	37.013769152	1522.6						
T	-1.098989421	37.013815792	1522.6						
T	-1.099002117	37.013824296	1522.6						
T	-1.099023278	37.013824338	1522.6						
T	-1.099044442	37.013794700	1522.6						
T	-1.099069843	37.013743863	1522.6						
T	-1.099078311	37.013709954	1522.5						
T	-1.099078311	37.013676029	1522.5						
T	-1.099082545	37.013633630	1522.5						
T	-1.099082545	37.013599705	1522.4						
T	-1.099082545	37.013578502	1522.4						
T	-1.099086780	37.013531860	1522.4						
T	-1.099086771	37.013502183	1522.3						
T	-1.099086737	37.013451314	1522.3						
T	-1.099086704	37.013400438	1522.2						
T	-1.099090919	37.013366516	1522.2						
T	-1.099095141	37.013341073	1522.2						
T	-1.099103596	37.013307145	1522.1						
T	-1.099116298	37.013264727	1522.0						
T	-1.099133254	37.013184121	1521.9						
T	-1.099137493	37.013128968	1521.8						
T	-1.099141715	37.013086536	1521.7						
T	-1.099145928	37.013035609	1521.7						
T	-1.099145907	37.012997409	1521.6						
T	-1.099145892	37.012971939	1521.6						
T	-1.099145883	37.012954958	1521.6						
T	-1.099150106	37.012929481	1521.5						
T	-1.099154326	37.012908241	1521.5						
T	-1.099162785	37.012882750	1521.5						
T	-1.099171228	37.012840256	1521.4						
T	-1.099183935	37.012814753	1521.4						
T	-1.099196641	37.012784995	1521.3						
T	-1.099217828	37.012742474	1521.3						
T	-1.099230543	37.012716956	1521.3						
T	-1.099243260	37.012691433	1521.2						
T	-1.099264466	37.012657397	1521.2						
T	-1.099272942	37.012631865	1521.2						
T	-1.099289901	37.012589302	1521.1						
T	-1.099298375	37.012555244	1521.1						
T	-1.099306853	37.012525437	1521.0						
T	-1.099315328	37.012487105	1521.0						
T	-1.099319565	37.012465805	1521.0						
T	-1.099332297	37.012435981	1520.9						
T	-1.099345023	37.012389103	1520.9						
T	-1.099357763	37.012363527	1520.8						
T	-1.099374754	37.012333683	1520.8						
T	-1.099400252	37.012303834	1520.8						
T	-1.099434260	37.012278244	1520.7						
T	-1.099438511	37.012273978	1520.7						
T	-1.099464020	37.012252650	1520.7						
T	-1.099493786	37.012231319	1520.7						
T	-1.099502291	37.012231319	1520.7						
T	-1.099502291	37.012248384	1520.7						
T	-1.099502291	37.012282509	1520.7						
T	-1.099502291	37.012303833	1520.8						
T	-1.099493788	37.012329419	1520.8						
T	-1.099485287	37.012355001	1520.8						
T	-1.099468288	37.012397627	1520.9						
T	-1.099451291	37.012427459	1520.9						
T	-1.099438544	37.012444503	1520.9						
T	-1.099425800	37.012465805	1521.0						
T	-1.099413058	37.012487105	1521.0						
T	-1.099391827	37.012529695	1521.0						
T	-1.099366361	37.012589302	1521.1						
T	-1.099349388	37.012627609	1521.2						
T	-1.099332425	37.012674416	1521.2						
T	-1.099323946	37.012699941	1521.2						
T	-1.099315473	37.012733968	1521.3						
T	-1.099294284	37.012793498	1521.4						
T	-1.099290050	37.012810502	1521.4						
T	-1.099290061	37.012827505	1521.4						
T	-1.099281584	37.012844506	1521.4						
T	-1.099273148	37.012916738	1521.5						
T	-1.099268922	37.012942222	1521.5						
T	-1.099264690	37.012971939	1521.6						
T	-1.099256213	37.012993164	1521.6						
T	-1.099251976	37.013010141	1521.6						
T	-1.099247735	37.013035602	1521.6						
T	-1.099239254	37.013069551	1521.7						
T	-1.099222291	37.013137444	1521.8						
T	-1.099213811	37.013196848	1521.8						
T	-1.099205330	37.013243521	1521.9						
T	-1.099201090	37.013273222	1521.9						
T	-1.099201094	37.013290193	1521.9						
T	-1.099179922	37.013345333	1522.0						
T	-1.099162999	37.013408943	1522.1						
T	-1.099158771	37.013430143	1522.1						
T	-1.099158779	37.013459829	1522.2						
T	-1.099154542	37.013489517	1522.2						
T	-1.099146070	37.013527682	1522.3						
T	-1.099141834	37.013553126	1522.3						
T	-1.099141835	37.013591298	1522.3						
T	-1.099141835	37.013612505	1522.4						
T	-1.099137599	37.013637948	1522.4						
T	-1.099137599	37.013663396	1522.4						
T	-1.099137599	37.013701567	1522.5						
T	-1.099137599	37.013739739	1522.5						
T	-1.099150306	37.013752486	1522.5						
T	-1.099171487	37.013752523	1522.5						
T	-1.099196909	37.013714389	1522.5						
T	-1.099205383	37.013693191	1522.4						
T	-1.099218097	37.013667757	1522.4						
T	-1.099222334	37.013646551	1522.4						
T	-1.099226572	37.013616859	1522.3						
T	-1.099226572	37.013587161	1522.3						
T	-1.099226572	37.013561706	1522.3						
T	-1.099226572	37.013515038	1522.2						
T	-1.099226573	37.013468370	1522.2						
T	-1.099235049	37.013400495	1522.1						
T	-1.099239287	37.013370799	1522.0						
T	-1.099247761	37.013345349	1522.0						
T	-1.099256222	37.013294444	1522.0						
T	-1.099260459	37.013285959	1521.9						
T	-1.099290146	37.013218066	1521.9						
T	-1.099302871	37.013133192	1521.8						
T	-1.099307112	37.013069536	1521.7						
T	-1.099315596	37.013014366	1521.6						
T	-1.099319837	37.012967683	1521.6						
T	-1.099324079	37.012937975	1521.5						
T	-1.099328309	37.012912489	1521.5						
T	-1.099332538	37.012886998	1521.5						
T	-1.099341015	37.012865753	1521.4						
T	-1.099362211	37.012810502	1521.4						
T	-1.099374930	37.012772240	1521.3						
T	-1.099387658	37.012750979	1521.3						
T	-1.099396140	37.012725462	1521.3						
T	-1.099404623	37.012695687	1521.2						
T	-1.099413104	37.012653142	1521.2						
T	-1.099425836	37.012614841	1521.1						
T	-1.099434324	37.012585046	1521.1						
T	-1.099459802	37.012516919	1521.0						
T	-1.099481044	37.012478585	1521.0						
T	-1.099493791	37.012448763	1520.9						
T	-1.099515040	37.012418936	1520.9						
T	-1.099523542	37.012393365	1520.9						
T	-1.099544797	37.012376315	1520.9						
T	-1.099561801	37.012367790	1520.8						
T	-1.099595807	37.012367790	1520.8						
T	-1.099604294	37.012410413	1520.9						
T	-1.099604290	37.012423197	1520.9						
T	-1.099604276	37.012465805	1521.0						
T	-1.099604262	37.012508401	1521.0						
T	-1.099595756	37.012533954	1521.0						
T	-1.099583002	37.012568017	1521.1						
T	-1.099553256	37.012623353	1521.1						
T	-1.099536263	37.012661652	1521.2						
T	-1.099515027	37.012699941	1521.2						
T	-1.099498042	37.012725462	1521.3						
T	-1.099481060	37.012750979	1521.3						
T	-1.099464082	37.012784995	1521.3						
T	-1.099447106	37.012810502	1521.4						
T	-1.099434377	37.012836005	1521.4						
T	-1.099425892	37.012853005	1521.4						
T	-1.099417410	37.012878501	1521.5						
T	-1.099408934	37.012916737	1521.5						
T	-1.099400455	37.012950708	1521.5						
T	-1.099391969	37.012993146	1521.6						
T	-1.099387726	37.013027096	1521.6						
T	-1.099379240	37.013065290	1521.7						
T	-1.099374997	37.013086509	1521.7						
T	-1.099366511	37.013128947	1521.8						
T	-1.099362267	37.013158653	1521.8						
T	-1.099353781	37.013201091	1521.8						
T	-1.099336809	37.013260504	1521.9						
T	-1.099332566	37.013302942	1522.0						
T	-1.099332566	37.013362355	1522.0						
T	-1.099332566	37.013426012	1522.1						
T	-1.099332566	37.013476937	1522.2						
T	-1.099324080	37.013523619	1522.2						
T	-1.099324080	37.013557569	1522.3						
T	-1.099315597	37.013587271	1522.3						
T	-1.099311356	37.013621215	1522.3						
T	-1.099311361	37.013642422	1522.4						
T	-1.099307137	37.013672082	1522.4						
T	-1.099307155	37.013701737	1522.4						
T	-1.099307176	37.013735621	1522.5						
T	-1.099315666	37.013748326	1522.5						
T	-1.099349597	37.013748326	1522.5						
T	-1.099370802	37.013744091	1522.5						
T	-1.099392005	37.013731386	1522.5						
T	-1.099404724	37.013714445	1522.5						
T	-1.099417446	37.013701737	1522.4						
T	-1.099434408	37.013672082	1522.4						
T	-1.099434407	37.013667845	1522.4						
T	-1.099434402	37.013642422	1522.4						
T	-1.099434398	37.013600007	1522.3						
T	-1.099434399	37.013570300	1522.3						
T	-1.099434398	37.013536350	1522.2						
T	-1.099434398	37.013493912	1522.2						
T	-1.099434399	37.013451474	1522.1						
T	-1.099434398	37.013409037	1522.1						
T	-1.099434398	37.013366599	1522.0						
T	-1.099438642	37.013324161	1522.0						
T	-1.099442885	37.013273235	1521.9						
T	-1.099442885	37.013268992	1521.9						
T	-1.099442885	37.013230798	1521.9						
T	-1.099451371	37.013184116	1521.8						
T	-1.099451371	37.013158653	1521.8						
T	-1.099459857	37.013120459	1521.7						
T	-1.099468343	37.013094997	1521.7						
T	-1.099468343	37.013078021	1521.7						
T	-1.099472586	37.013044071	1521.7						
T	-1.099476829	37.013027096	1521.6						
T	-1.099481072	37.012993146	1521.6						
T	-1.099485314	37.012942220	1521.5						
T	-1.099493800	37.012908241	1521.5						
T	-1.099502287	37.012865753	1521.4						
T	-1.099510776	37.012831755	1521.4						
T	-1.099527758	37.012784995	1521.3						
T	-1.099553241	37.012712702	1521.3						
T	-1.099570230	37.012691433	1521.2						
T	-1.099582979	37.012653142	1521.2						
T	-1.099591480	37.012627610	1521.2						
T	-1.099604234	37.012593559	1521.1						
T	-1.099616986	37.012568017	1521.1						
T	-1.099625489	37.012550986	1521.1						
T	-1.099633995	37.012529695	1521.0						
T	-1.099638251	37.012512660	1521.0						
T	-1.099659510	37.012482845	1521.0						
T	-1.099668015	37.012470065	1521.0						
T	-1.099693514	37.012465805	1521.0						
T	-1.099710512	37.012465805	1521.0						
T	-1.099723257	37.012470065	1521.0						
T	-1.099740228	37.012504142	1521.0						
T	-1.099752954	37.012529695	1521.0						
T	-1.099752927	37.012563759	1521.1						
T	-1.099752899	37.012597816	1521.1						
T	-1.099740127	37.012636121	1521.2						
T	-1.099714624	37.012665907	1521.2						
T	-1.099684867	37.012716956	1521.3						
T	-1.099667860	37.012759484	1521.3						
T	-1.099646615	37.012797749	1521.4						
T	-1.099633875	37.012810502	1521.4						
T	-1.099625373	37.012840255	1521.4						
T	-1.099604133	37.012895496	1521.5						
T	-1.099565932	37.012971927	1521.6						
T	-1.099553203	37.013005877	1521.6						
T	-1.099540474	37.013035584	1521.6						
T	-1.099540474	37.013078021	1521.7						
T	-1.099540474	37.013086509	1521.7						
T	-1.099540474	37.013111972	1521.7						
T	-1.099540474	37.013133191	1521.8						
T	-1.099536231	37.013162897	1521.8						
T	-1.099531988	37.013209579	1521.9						
T	-1.099531988	37.013239285	1521.9						
T	-1.099523502	37.013264748	1521.9						
T	-1.099515016	37.013290211	1521.9						
T	-1.099506530	37.013324161	1522.0						
T	-1.099498044	37.013353867	1522.0						
T	-1.099489558	37.013379330	1522.1						
T	-1.099481072	37.013400549	1522.1						
T	-1.099472585	37.013426012	1522.1						
T	-1.099459857	37.013472693	1522.2						
T	-1.099447128	37.013540594	1522.2						
T	-1.099447128	37.013570300	1522.3						
T	-1.099447128	37.013595763	1522.3						
T	-1.099447128	37.013629708	1522.4						
T	-1.099451376	37.013659371	1522.4						
T	-1.099455622	37.013684792	1522.4						
T	-1.099472597	37.013756795	1522.5						
T	-1.099489563	37.013777966	1522.5						
T	-1.099506526	37.013777966	1522.5						
T	-1.099523491	37.013773732	1522.5						
T	-1.099544702	37.013727151	1522.5						
T	-1.099548950	37.013689029	1522.4						
T	-1.099548955	37.013655134	1522.4						
T	-1.099553203	37.013621226	1522.3						
T	-1.099557446	37.013553325	1522.3						
T	-1.099561689	37.013506644	1522.2						
T	-1.099570175	37.013426012	1522.1						
T	-1.099574418	37.013328405	1522.0						
T	-1.099578661	37.013307186	1522.0						
T	-1.099621091	37.013167141	1521.8						
T	-1.099633820	37.013116215	1521.7						
T	-1.099655035	37.013044071	1521.7						
T	-1.099663521	37.013014365	1521.6						
T	-1.099663521	37.012984658	1521.6						
T	-1.099667764	37.012963439	1521.6						
T	-1.099672019	37.012916737	1521.5						
T	-1.099680530	37.012874252	1521.4						
T	-1.099693278	37.012848755	1521.4						
T	-1.099701788	37.012814753	1521.4						
T	-1.099710297	37.012784995	1521.3						
T	-1.099731554	37.012742474	1521.3						
T	-1.099752810	37.012708449	1521.2						
T	-1.099774071	37.012674416	1521.2						
T	-1.099791092	37.012636121	1521.2						
T	-1.099808102	37.012614841	1521.1						
T	-1.099825118	37.012589302	1521.1						
T	-1.099842123	37.012576531	1521.1						
T	-1.099863362	37.012576531	1521.1						
T	-1.099884586	37.012589302	1521.1						
T	-1.099893055	37.012610585	1521.1						
T	-1.099897271	37.012636120	1521.2						
T	-1.099897238	37.012661652	1521.2						
T	-1.099897200	37.012691433	1521.2						
T	-1.099884425	37.012721209	1521.3						
T	-1.099863165	37.012746726	1521.3						
T	-1.099846155	37.012772240	1521.3						
T	-1.099824898	37.012802000	1521.4						
T	-1.099812146	37.012819003	1521.4						
T	-1.099795143	37.012844505	1521.4						
T	-1.099778144	37.012870002	1521.4						
T	-1.099773877	37.012895496	1521.5						
T	-1.099765372	37.012916737	1521.5						
T	-1.099752624	37.012967683	1521.6						
T	-1.099735652	37.013039827	1521.6						
T	-1.099727166	37.013107728	1521.7						
T	-1.099727166	37.013128947	1521.8						
T	-1.099705951	37.013167141	1521.8						
T	-1.099701708	37.013184116	1521.8						
T	-1.099667764	37.013281723	1521.9						
T	-1.099650792	37.013353867	1522.0						
T	-1.099642306	37.013392062	1522.1						
T	-1.099633820	37.013438743	1522.1						
T	-1.099629577	37.013476937	1522.2						
T	-1.099616848	37.013510887	1522.2						
T	-1.099621091	37.013587276	1522.3						
T	-1.099604119	37.013612738	1522.3						
T	-1.099599873	37.013633946	1522.4						
T	-1.099595623	37.013659372	1522.4						
T	-1.099595615	37.013684792	1522.4						
T	-1.099595604	37.013718680	1522.5						
T	-1.099595597	37.013744091	1522.5						
T	-1.099621039	37.013761030	1522.5						
T	-1.099638003	37.013761030	1522.5						
T	-1.099659207	37.013765264	1522.5						
T	-1.099688905	37.013748326	1522.5						
T	-1.099701646	37.013722916	1522.5						
T	-1.099710154	37.013684792	1522.4						
T	-1.099718668	37.013642422	1522.4						
T	-1.099727166	37.013616982	1522.3						
T	-1.099727166	37.013544837	1522.3						
T	-1.099731409	37.013489669	1522.2						
T	-1.099735652	37.013447231	1522.1						
T	-1.099739895	37.013426012	1522.1						
T	-1.099739895	37.013392062	1522.1						
T	-1.099748381	37.013370843	1522.0						
T	-1.099756867	37.013332649	1522.0						
T	-1.099765353	37.013285967	1521.9						
T	-1.099773839	37.013235041	1521.9						
T	-1.099773839	37.013222310	1521.9						
T	-1.099786568	37.013154410	1521.8						
T	-1.099790811	37.013124703	1521.8						
T	-1.099795054	37.013073778	1521.7						
T	-1.099799297	37.013027096	1521.6						
T	-1.099803540	37.013005877	1521.6						
T	-1.099807783	37.012980414	1521.6						
T	-1.099820531	37.012920985	1521.5						
T	-1.099837559	37.012870002	1521.4						
T	-1.099846065	37.012853005	1521.4						
T	-1.099854573	37.012836005	1521.4						
T	-1.099867336	37.012810502	1521.4						
T	-1.099875856	37.012784995	1521.3						
T	-1.099884388	37.012750979	1521.3						
T	-1.099897163	37.012721209	1521.3						
T	-1.099909945	37.012687179	1521.2						
T	-1.099922713	37.012665907	1521.2						
T	-1.099948248	37.012627609	1521.2						
T	-1.099956736	37.012631865	1521.2						
T	-1.099960940	37.012661652	1521.2						
T	-1.099965060	37.012746726	1521.3						
T	-1.099965035	37.012763736	1521.3						
T	-1.099956358	37.012891247	1521.5						
T	-1.099939316	37.013010121	1521.6						
T	-1.099935073	37.013044071	1521.7						
T	-1.099926587	37.013078021	1521.7						
T	-1.099918101	37.013133191	1521.8						
T	-1.099896886	37.013205335	1521.8						
T	-1.099888400	37.013281723	1521.9						
T	-1.099888400	37.013315673	1522.0						
T	-1.099875671	37.013345380	1522.0						
T	-1.099858699	37.013370843	1522.0						
T	-1.099841727	37.013413280	1522.1						
T	-1.099824755	37.013489669	1522.2						
T	-1.099816269	37.013527863	1522.2						
T	-1.099803540	37.013566057	1522.3						
T	-1.099795054	37.013621226	1522.3						
T	-1.099795031	37.013650897	1522.4						
T	-1.099795007	37.013676319	1522.4						
T	-1.099794959	37.013727151	1522.5						
T	-1.099807671	37.013739857	1522.5						
T	-1.099820387	37.013748326	1522.5						
T	-1.099841594	37.013748326	1522.5						
T	-1.099858559	37.013748326	1522.5						
T	-1.099871288	37.013744091	1522.5						
T	-1.099875550	37.013727151	1522.5						
T	-1.099875581	37.013701737	1522.4						
T	-1.099875626	37.013663608	1522.4						
T	-1.099875671	37.013625470	1522.4						
T	-1.099875671	37.013591519	1522.3						
T	-1.099879914	37.013527863	1522.2						
T	-1.099884157	37.013476937	1522.2						
T	-1.099888400	37.013434499	1522.1						
T	-1.099896886	37.013396305	1522.1						
T	-1.099913858	37.013315673	1522.0						
T	-1.099926587	37.013268992	1521.9						
T	-1.099930830	37.013230798	1521.9						
T	-1.099935073	37.013171385	1521.8						
T	-1.099939316	37.013120459	1521.7						
T	-1.099939316	37.013082265	1521.7						
T	-1.099943559	37.013044071	1521.7						
T	-1.099956288	37.012946464	1521.5						
T	-1.099964833	37.012899744	1521.5						
T	-1.099973378	37.012861503	1521.4						
T	-1.099981932	37.012819003	1521.4						
T	-1.099990468	37.012789246	1521.3						
T	-1.099994746	37.012767988	1521.3						
T	-1.100003264	37.012750979	1521.3						
T	-1.100011797	37.012733956	1521.3						
T	-1.100024595	37.012716913	1521.2						
T	-1.100050171	37.012699835	1521.2						
T	-1.100054429	37.012699825	1521.2						
T	-1.100062916	37.012716824	1521.2						
T	-1.100071364	37.012755092	1521.2						
T	-1.100071302	37.012789118	1521.2						
T	-1.100071255	37.012814632	1521.3						
T	-1.100071216	37.012835891	1521.3						
T	-1.100058407	37.012857168	1521.3						
T	-1.100041345	37.012878446	1521.4						
T	-1.100019988	37.012929460	1521.5						
T	-1.100011465	37.012954943	1521.5						
T	-1.100002961	37.012984658	1521.6						
T	-1.100002961	37.012988902	1521.6						
T	-1.099990232	37.013018609	1521.6						
T	-1.099981746	37.013056803	1521.7						
T	-1.099981746	37.013086509	1521.7						
T	-1.099977503	37.013111972	1521.7						
T	-1.099977503	37.013141678	1521.8						
T	-1.099973260	37.013188360	1521.8						
T	-1.099973260	37.013222310	1521.9						
T	-1.099973260	37.013247773	1521.9						
T	-1.099973260	37.013268992	1521.9						
T	-1.099969017	37.013298698	1522.0						
T	-1.099964774	37.013341136	1522.0						
T	-1.099964774	37.013370842	1522.0						
T	-1.099964774	37.013404793	1522.1						
T	-1.099964774	37.013468449	1522.2						
T	-1.099964774	37.013523619	1522.2						
T	-1.099964774	37.013557569	1522.3						
T	-1.099964774	37.013591519	1522.3						
T	-1.099964774	37.013612738	1522.3						
T	-1.099964750	37.013642422	1522.4						
T	-1.099960457	37.013676320	1522.4						
T	-1.099951936	37.013701737	1522.4						
T	-1.099939169	37.013731387	1522.5						
T	-1.099934927	37.013731387	1522.5						
T	-1.099854352	37.013718680	1522.5						
T	-1.099811938	37.013714445	1522.5						
T	-1.099782245	37.013714444	1522.5						
T	-1.099756795	37.013714445	1522.5						
T	-1.099735585	37.013714445	1522.5						
T	-1.099710135	37.013714444	1522.5						
T	-1.099680444	37.013710209	1522.5						
T	-1.099629549	37.013693265	1522.4						
T	-1.099612582	37.013689029	1522.4						
T	-1.099561678	37.013680555	1522.4						
T	-1.099493801	37.013663608	1522.4						
T	-1.099485316	37.013663608	1522.4						
T	-1.099455619	37.013663608	1522.4						
T	-1.099421679	37.013663608	1522.4						
T	-1.099413194	37.013663608	1522.4						
T	-1.099396224	37.013663608	1522.4						
T	-1.099370771	37.013667845	1522.4						
T	-1.099345316	37.013667845	1522.4						
T	-1.099302892	37.013667845	1522.4						
T	-1.099252003	37.013667807	1522.4						
T	-1.099184198	37.013667706	1522.4						
T	-1.099141834	37.013667643	1522.4						
T	-1.099074077	37.013667542	1522.5						
T	-1.099014813	37.013667454	1522.5						
T	-1.098955536	37.013667396	1522.6						
T	-1.098900503	37.013667345	1522.7						
T	-1.098858211	37.013667282	1522.7						
T	-1.098799031	37.013662950	1522.8						
T	-1.098756767	37.013662888	1522.8						
T	-1.098697628	37.013658558	1522.9						
T	-1.098646946	37.013658484	1522.9						
T	-1.098591894	37.013658487	1523.0						
T	-1.098549550	37.013658487	1523.0						
T	-1.098511461	37.013654243	1523.0						
T	-1.098469118	37.013654243	1523.1						
T	-1.098435243	37.013654243	1523.1						
T	-1.098405625	37.013649999	1523.2						
T	-1.098380243	37.013645755	1523.2						
T	-1.098350627	37.013641511	1523.2						
T	-1.098321013	37.013637267	1523.2						
T	-1.098193471	37.013696752	1522.9						
T	-1.098202229	37.013480634	1523.4						
T	-1.098278727	37.013620311	1523.2						
T	-1.098249065	37.013607616	1523.2						
T	-1.098244789	37.013586456	1523.2						
T	-1.098261683	37.013565294	1523.3						
T	-1.098303981	37.013556836	1523.4						
T	-1.098350480	37.013561095	1523.4						
T	-1.098219393	37.013590688	1523.2						
T	-1.098227835	37.013577991	1523.2						
T	-1.098240512	37.013565294	1523.3						
T	-1.098253172	37.013544131	1523.3						
T	-1.098299633	37.013493338	1523.5						
T	-1.098316524	37.013484878	1523.6						
T	-1.098337659	37.013484888	1523.6						
T	-1.098316524	37.013484878	1523.6						
T	-1.098286907	37.013472166	1523.6						
T	-1.098265667	37.013438295	1523.6						
T	-1.098265600	37.013404419	1523.7						
T	-1.098278281	37.013391715	1523.7						
T	-1.098303666	37.013391719	1523.8						
T	-1.098312144	37.013404426	1523.8						
T	-1.098312193	37.013429834	1523.7						
T	-1.098397039	37.013556867	1523.4						
T	-1.098422447	37.013556867	1523.3						
T	-1.098452132	37.013569558	1523.3						
T	-1.098469098	37.013578019	1523.2						
T	-1.098481815	37.013582249	1523.2						
T	-1.098519937	37.013586478	1523.1						
T	-1.098549577	37.013586478	1523.1						
T	-1.098566527	37.013590708	1523.1						
T	-1.098591932	37.013590708	1523.0						
T	-1.098625805	37.013590708	1523.0						
T	-1.098676547	37.013590741	1522.9						
T	-1.098680771	37.013590746	1522.9						
T	-1.098718787	37.013590793	1522.9						
T	-1.098731462	37.013590809	1522.9						
T	-1.098777942	37.013590867	1522.8						
T	-1.098828664	37.013590930	1522.7						
T	-1.098849804	37.013590956	1522.7						
T	-1.098879403	37.013590993	1522.7						
T	-1.098917468	37.013591040	1522.6						
T	-1.098951311	37.013591082	1522.6						
T	-1.098993639	37.013591124	1522.5						
T	-1.099057143	37.013595433	1522.5						
T	-1.099091014	37.013603957	1522.4						
T	-1.099124893	37.013612483	1522.4						
T	-1.099137599	37.013612499	1522.4						
T	-1.099167251	37.013612538	1522.3						
T	-1.099188435	37.013612566	1522.3						
T	-1.099205384	37.013616831	1522.3						
T	-1.099226572	37.013616859	1522.3						
T	-1.099277437	37.013616927	1522.3						
T	-1.099294396	37.013616949	1522.3						
T	-1.099336810	37.013616982	1522.3						
T	-1.099374996	37.013616982	1522.3						
T	-1.099400454	37.013616982	1522.3						
T	-1.099442885	37.013616982	1522.3						
T	-1.099481072	37.013616982	1522.3						
T	-1.099510773	37.013616982	1522.3						
T	-1.099548960	37.013616982	1522.3						
T	-1.099591390	37.013621226	1522.3						
T	-1.099650788	37.013633946	1522.4						
T	-1.099693217	37.013633946	1522.4						
T	-1.099756861	37.013633946	1522.4						
T	-1.099807775	37.013633946	1522.4						
T	-1.099837476	37.013633947	1522.4						
T	-1.099867176	37.013633947	1522.4						
T	-1.099896876	37.013633947	1522.4						
T	-1.099922334	37.013633946	1522.4						
T	-1.099947791	37.013633947	1522.4						
T	-1.099969012	37.013629709	1522.4						
T	-1.100002961	37.013608495	1522.3						
T	-1.100011465	37.013604265	1522.3						
T	-1.100028495	37.013574598	1522.2						
T	-1.100028495	37.013553376	1522.2						
T	-1.100024237	37.013544878	1522.2						
T	-1.099994475	37.013540594	1522.2						
T	-1.099960531	37.013540594	1522.2						
T	-1.099918101	37.013540594	1522.2						
T	-1.099888400	37.013540594	1522.2						
T	-1.099854456	37.013540594	1522.2						
T	-1.099828998	37.013540594	1522.2						
T	-1.099803540	37.013540594	1522.2						
T	-1.099782325	37.013540594	1522.2						
T	-1.099744138	37.013540594	1522.2						
T	-1.099731409	37.013540594	1522.2						
T	-1.099684736	37.013540594	1522.2						
T	-1.099625334	37.013540594	1522.2						
T	-1.099591390	37.013540594	1522.2						
T	-1.099565932	37.013540594	1522.2						
T	-1.099536231	37.013540594	1522.2						
T	-1.099489558	37.013540594	1522.2						
T	-1.099455613	37.013540594	1522.2						
T	-1.099404697	37.013540594	1522.2						
T	-1.099374996	37.013540594	1522.2						
T	-1.099324080	37.013536350	1522.2						
T	-1.099285916	37.013532071	1522.2						
